INDEX,CONTENT содержимое,COMMENT отзыв ,RATING оценка,REMARK замечания
1,"Выпускная квалификационная работа посвящена разработке почтового сервиса. Автором выполнен
аналитический обзор имеющихся решений. Сформулированы требования к проектируемой системе.
Выполнен системный анализ обьекта управления. Разработано информационное и программное обеспечение.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «Удовлетворительно».,"Замечания: 
1. При просмотре списка сообщений в разделе ""Личные сообщения"" 
отсутствует возможность просмотра всех сообщений, в которых 
вы участвовали. 
2. При просмотре сообщений, отправленных вами, 
нет возможности просмотреть все сообщения, которые вы 
получали от данного отправителя, а также от других пользователей."
2,"Выпускная квалификационная работа посвящена разработке системы для управления проектом строительства 
объекта. В работе представлена общая схема проекта, на примере которого выполнен анализ методов и 
моделей, применяемых в различных сферах деятельности. Целью работы является разработка системы 
поддержки решения задачи выбора оптимальной стратегии строительства объектов.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Рекомендуемая оценка «отлично».,Замечаний по работе нет.
3,"Выпускная квалификационная работа посвящена разработке программного обеспечения для анализа и 
прогнозирования на основе данных о продажах продуктов питания в магазинах. В работе рассматривается 
несколько методов анализа и прогноза продаж. Данные методы были применены для определения тенденции 
продаж в магазине, а также прогноза продаж на месяц, квартал и год.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Рекомендуемая оценка «хорошо».,Существенных замечаний по работе нет.
4,"Выпускная квалификационная работа посвящена разработке программного обеспечения для автоматизации 
процесса приема и обработки заказов, поступающих от интернет-магазинов.
Приводится описание предметной области, на которой базируется разрабатываемое программное обеспечение. 
Описываются методы, применяемые для решения поставленных задач.
Разработана архитектура и структура программного обеспечения, а также его основные функции.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,"Замечания по работе:
1. Разработанная информационная система не отвечает всем 
требованиям, сформулированным в работе.
2. Имеются недочеты по оформлению работы."
5,"ВКР посвящена проектированию и разработке автоматизированной системы управления документооборотом 
в фирме. В работе рассматривается создание автоматизированной информационно-технологической системы, 
обеспечивающей выполнение основных функций управления и документооборота в фирме.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Рекомендуемая оценка «хорошо».,Замечаний по работе нет.
6,"ВКР посвящена проектированию и разработке автоматизированной системы управления (АСУ) для 
управления технологическим процессом в деревообрабатывающей промышленности. В работе представлена 
модель предметной области, содержащая описание деятельности деревообрабатывающего предприятия и
ее отдельных структурных подразделений.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Рекомендуемая оценка «хорошо».,"Замечания по работе: 
1. В разделе ""Описание предметной области"" не указано, что АСУ 
должна быть интегрированной с другими информационными 
системами предприятия."
7,"Выпускная квалификационная работа посвящена веб разработке сайта для электронной торговли.
Проект представляет собой интернет-магазин спортивных товаров.
В работе также были рассмотрены вопросы безопасности сайта, которые включают в себя защиту от 
вредоносных программ и вирусов, а также от взлома и несанкционированного доступа к сайту.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».," Замечания по работе: 
1. В работе присутствуют некоторые недоработки, связанные с 
защитой сайта. 
2. В работе присутствует небольшое количество страниц, что является недостатком. 
3. В работе имеются ошибки, связанные со стилистикой."
8,"Курсовая работа посвящена веб разработке, а именно разработке сайта с помощью библиотеки Bootstrap.
В данной работе была разработана структура сайта, сделана верстка и выполнена адаптация сайта 
под мобильные устройства. При написании данного курсового проекта использовались следующие 
программные продукты: Microsoft Visual Code, Bootstrap.","Выполненная работа полностью не соответствует требованиям, предъявляемым  к курсовой работе.",Оценка «Плохо».,"Замечания по работе:
1. В процессе работы над проектом было выявлено, что сайт требует доработки.
2. Не хватает некоторых данных о проекте.
3. Не хватает данных о дизайне.
4. Не хватает описания структуры сайта.
5. В данной курсовой работе очень мало примеров кода.
6. В работе есть примеры кода не для всех блоков."
9,"Курсовая работа посвящена разработке системы для автоматизации учета на предприятиях малого бизнеса. 
В соответствии с этим будет осуществлена разработка базы данных, а также разработан интерфейс 
пользователя для системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «отлично».,Замечаний по работе нет.
10,"Курсовая работа посвящена разработке системы для автоматизации учета рабочего времени сотрудников. 
Система предназначена для повышения эффективности использования рабочего времени персонала, а 
также для оптимизации учета рабочего времени.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «отлично».,Существенных замечаний по работе нет.
